"attractor","state","label"
1,17825794,"M0"
2,51380226,"M0"
3,1048578,"M0"
4,34603010,"M0"
5,5242882,"M0"
6,38797314,"M0"
7,22020098,"M0"
8,55574530,"M0"
9,173162498,"M0"
10,189939714,"M0"
11,168968194,"M0"
12,185745410,"M0"
13,247101071,"M1"
14,263878287,"M1"
15,95958671,"M1"
16,129513103,"M1"
17,79181455,"M1"
18,112735887,"M1"
19,77084299,"M1"
20,110638731,"M1"
21,93861515,"M1"
22,127415947,"M1"
23,245003915,"M1"
24,261781131,"M1"
25,236615179,"M1"
26,253392395,"M1"
27,240809483,"M1"
28,257586699,"M1"
29,89667083,"M1"
30,123221515,"M1"
31,72889867,"M1"
32,106444299,"M1"
33,68695563,"M1"
34,102249995,"M1"
35,85472779,"M1"
36,119027211,"M1"
37,87569935,"M1"
38,121124367,"M1"
39,70792719,"M1"
40,104347151,"M1"
41,255489551,"M1"
42,238712335,"M1"
43,268072479,"M1"
44,251295263,"M1"
45,259683871,"M1"
46,242906655,"M1"
47,528381471,"M1"
48,511604255,"M1"
49,536770079,"M1"
50,519992863,"M1"
51,352073247,"M1"
52,385627679,"M1"
53,368850463,"M1"
54,402404895,"M1"
55,360461855,"M1"
56,394016287,"M1"
57,343684639,"M1"
58,377239071,"M1"
59,74987039,"M1"
60,108541471,"M1"
61,91764255,"M1"
62,125318687,"M1"
63,100152863,"M1"
64,133707295,"M1"
65,83375647,"M1"
66,116930079,"M1"
67,81278491,"M1"
68,114832923,"M1"
69,98055707,"M1"
70,131610139,"M1"
71,366753307,"M1"
72,400307739,"M1"
73,349976091,"M1"
74,383530523,"M1"
75,534672923,"M1"
76,517895707,"M1"
77,265975323,"M1"
78,249198107,"M1"
79,190464011,"M1"
80,173686795,"M1"
81,186269707,"M1"
82,169492491,"M1"
83,1572875,"M1"
84,35127307,"M1"
85,18350091,"M1"
86,51904523,"M1"
87,22544395,"M1"
88,56098827,"M1"
89,5767179,"M1"
90,39321611,"M1"
91,251035158,"M2"
92,519470614,"M2"
93,267812374,"M2"
94,536247830,"M2"
95,259423766,"M2"
96,527859222,"M2"
97,242646550,"M2"
98,511082006,"M2"
99,243170838,"M2"
100,511606294,"M2"
101,259948054,"M2"
102,528383510,"M2"
103,268336662,"M2"
104,536772118,"M2"
105,251559446,"M2"
106,519994902,"M2"
107,249462290,"M2"
108,517897746,"M2"
109,266239506,"M2"
110,534674962,"M2"
111,265715218,"M2"
112,534150674,"M2"
113,248938002,"M2"
114,517373458,"M2"
115,114572818,"M2"
116,383008274,"M2"
117,81018386,"M2"
118,349453842,"M2"
119,97795602,"M2"
120,366231058,"M2"
121,131350034,"M2"
122,399785490,"M2"
123,131874322,"M2"
124,400309778,"M2"
125,98319890,"M2"
126,366755346,"M2"
127,81542674,"M2"
128,349978130,"M2"
129,115097106,"M2"
130,383532562,"M2"
131,108805654,"M2"
132,377241110,"M2"
133,75251222,"M2"
134,343686678,"M2"
135,92028438,"M2"
136,360463894,"M2"
137,125582870,"M2"
138,394018326,"M2"
139,133971478,"M2"
140,402406934,"M2"
141,100417046,"M2"
142,368852502,"M2"
143,83639830,"M2"
144,352075286,"M2"
145,117194262,"M2"
146,385629718,"M2"
147,116669974,"M2"
148,385105430,"M2"
149,83115542,"M2"
150,351550998,"M2"
151,99892758,"M2"
152,368328214,"M2"
153,133447190,"M2"
154,401882646,"M2"
155,125058582,"M2"
156,393494038,"M2"
157,91504150,"M2"
158,359939606,"M2"
159,74726934,"M2"
160,343162390,"M2"
161,108281366,"M2"
162,376716822,"M2"
163,237436420,"M2a"
164,505871876,"M2a"
165,254213636,"M2a"
166,522649092,"M2a"
167,255262212,"M2a"
168,523697668,"M2a"
169,238484996,"M2a"
170,506920452,"M2a"
171,239009284,"M2a"
172,507444740,"M2a"
173,255786500,"M2a"
174,524221956,"M2a"
175,254737924,"M2a"
176,523173380,"M2a"
177,237960708,"M2a"
178,506396164,"M2a"
179,351024661,"M0"
180,384579093,"M0"
181,367801877,"M0"
182,401356309,"M0"
183,359413269,"M0"
184,392967701,"M0"
185,342636053,"M0"
186,376190485,"M0"
187,343684629,"M0"
188,377239061,"M0"
189,360461845,"M0"
190,394016277,"M0"
191,368850453,"M0"
192,402404885,"M0"
193,352073237,"M0"
194,385627669,"M0"
195,83375637,"M0"
196,116930069,"M0"
197,100152853,"M0"
198,133707285,"M0"
199,91764245,"M0"
200,125318677,"M0"
201,74987029,"M0"
202,108541461,"M0"
203,73938453,"M0"
204,107492885,"M0"
205,90715669,"M0"
206,124270101,"M0"
207,99104277,"M0"
208,132658709,"M0"
209,82327061,"M0"
210,115881493,"M0"
211,267023893,"M0"
212,250246677,"M0"
213,258635285,"M0"
214,241858069,"M0"
215,259683861,"M0"
216,242906645,"M0"
217,268072469,"M0"
218,251295253,"M0"
219,536770069,"M0"
220,519992853,"M0"
221,528381461,"M0"
222,511604245,"M0"
223,527332885,"M0"
224,510555669,"M0"
225,535721493,"M0"
226,518944277,"M0"
227,533624337,"M0"
228,516847121,"M0"
229,534672913,"M0"
230,517895697,"M0"
231,265975313,"M0"
232,249198097,"M0"
233,264926737,"M0"
234,248149521,"M0"
235,113784337,"M0"
236,80229905,"M0"
237,130561553,"M0"
238,97007121,"M0"
239,131610129,"M0"
240,98055697,"M0"
241,114832913,"M0"
242,81278481,"M0"
243,383530513,"M0"
244,349976081,"M0"
245,400307729,"M0"
246,366753297,"M0"
247,399259153,"M0"
248,365704721,"M0"
249,382481937,"M0"
250,348927505,"M0"
251,403537921,"M0"
252,269320193,"M0"
253,420315137,"M0"
254,286097409,"M0"
255,424509441,"M0"
256,290291713,"M0"
257,407732225,"M0"
258,273514497,"M0"
259,408780801,"M0"
260,274563073,"M0"
261,425558017,"M0"
262,291340289,"M0"
263,421363713,"M0"
264,287145985,"M0"
265,404586497,"M0"
266,270368769,"M0"
267,320634881,"M0"
268,303857665,"M0"
269,324829185,"M0"
270,308051969,"M0"
271,323780609,"M0"
272,307003393,"M0"
273,319586305,"M0"
274,302809089,"M0"
275,524289,"M0"
276,34078721,"M0"
277,17301505,"M0"
278,50855937,"M0"
279,21495809,"M0"
280,55050241,"M0"
281,4718593,"M0"
282,38273025,"M0"
283,189415425,"M0"
284,172638209,"M0"
285,185221121,"M0"
286,168443905,"M0"
287,455000065,"M0"
288,438222849,"M0"
289,459194369,"M0"
290,442417153,"M0"
291,458145793,"M0"
292,441368577,"M0"
293,453951489,"M0"
294,437174273,"M0"
295,521074177,"M0"
296,504296961,"M0"
297,525268481,"M0"
298,508491265,"M0"
299,526317057,"M0"
300,509539841,"M0"
301,522122753,"M0"
302,505345537,"M0"
303,253392385,"M0"
304,236615169,"M0"
305,257586689,"M0"
306,240809473,"M0"
307,256538113,"M0"
308,239760897,"M0"
309,252343809,"M0"
310,235566593,"M0"
311,67646977,"M0"
312,101201409,"M0"
313,84424193,"M0"
314,117978625,"M0"
315,88618497,"M0"
316,122172929,"M0"
317,71841281,"M0"
318,105395713,"M0"
319,72889857,"M0"
320,106444289,"M0"
321,89667073,"M0"
322,123221505,"M0"
323,85472769,"M0"
324,119027201,"M0"
325,68695553,"M0"
326,102249985,"M0"
327,387757569,"M0"
328,370980353,"M0"
329,391951873,"M0"
330,375174657,"M0"
331,390903297,"M0"
332,374126081,"M0"
333,386708993,"M0"
334,369931777,"M0"
335,470660609,"M0"
336,336442881,"M0"
337,487437825,"M0"
338,353220097,"M0"
339,491632129,"M0"
340,357414401,"M0"
341,474854913,"M0"
342,340637185,"M0"
343,475903489,"M0"
344,341685761,"M0"
345,492680705,"M0"
346,358462977,"M0"
347,488486401,"M0"
348,354268673,"M0"
349,471709185,"M0"
350,337491457,"M0"
351,480097921,"M0"
352,345880193,"M0"
353,496875137,"M0"
354,362657409,"M0"
355,495826561,"M0"
356,361608833,"M0"
357,479049345,"M0"
358,344831617,"M0"
359,395097729,"M0"
360,378320513,"M0"
361,396146305,"M0"
362,379369089,"M0"
363,77084289,"M0"
364,110638721,"M0"
365,93861505,"M0"
366,127415937,"M0"
367,92812929,"M0"
368,126367361,"M0"
369,76035713,"M0"
370,109590145,"M0"
371,260732545,"M0"
372,243955329,"M0"
373,261781121,"M0"
374,245003905,"M0"
375,530511489,"M0"
376,513734273,"M0"
377,529462913,"M0"
378,512685697,"M0"
379,462340225,"M0"
380,445563009,"M0"
381,463388801,"M0"
382,446611585,"M0"
383,412975233,"M0"
384,278757505,"M0"
385,429752449,"M0"
386,295534721,"M0"
387,428703873,"M0"
388,294486145,"M0"
389,411926657,"M0"
390,277708929,"M0"
391,327975041,"M0"
392,311197825,"M0"
393,329023617,"M0"
394,312246401,"M0"
395,331120773,"M0"
396,314343557,"M0"
397,330072197,"M0"
398,313294981,"M0"
399,414023813,"M0"
400,279806085,"M0"
401,430801029,"M0"
402,296583301,"M0"
403,431849605,"M0"
404,297631877,"M0"
405,415072389,"M0"
406,280854661,"M0"
407,482195077,"M0"
408,347977349,"M0"
409,498972293,"M0"
410,364754565,"M0"
411,497923717,"M0"
412,363705989,"M0"
413,481146501,"M0"
414,346928773,"M0"
415,397194885,"M0"
416,380417669,"M0"
417,398243461,"M0"
418,381466245,"M0"
419,79181445,"M0"
420,112735877,"M0"
421,95958661,"M0"
422,129513093,"M0"
423,94910085,"M0"
424,128464517,"M0"
425,78132869,"M0"
426,111687301,"M0"
427,69744133,"M0"
428,103298565,"M0"
429,86521349,"M0"
430,120075781,"M0"
431,87569925,"M0"
432,121124357,"M0"
433,70792709,"M0"
434,104347141,"M0"
435,372028933,"M0"
436,373077509,"M0"
437,388806149,"M0"
438,389854725,"M0"
439,490583557,"M0"
440,356365829,"M0"
441,489534981,"M0"
442,355317253,"M0"
443,472757765,"M0"
444,338540037,"M0"
445,473806341,"M0"
446,339588613,"M0"
447,406683653,"M0"
448,272465925,"M0"
449,405635077,"M0"
450,271417349,"M0"
451,422412293,"M0"
452,288194565,"M0"
453,423460869,"M0"
454,289243141,"M0"
455,321683461,"M0"
456,322732037,"M0"
457,304906245,"M0"
458,305954821,"M0"
459,439271429,"M0"
460,440320005,"M0"
461,456048645,"M0"
462,457097221,"M0"
463,523171333,"M0"
464,524219909,"M0"
465,506394117,"M0"
466,507442693,"M0"
467,237663749,"M0"
468,238712325,"M0"
469,254440965,"M0"
470,255489541,"M0"
471,262829701,"M0"
472,263878277,"M0"
473,246052485,"M0"
474,247101061,"M0"
475,514782853,"M0"
476,515831429,"M0"
477,531560069,"M0"
478,532608645,"M0"
479,464437381,"M0"
480,465485957,"M0"
481,447660165,"M0"
482,448708741,"M0"
483,448186500,"M2c"
484,447137924,"M2c"
